   882589.65    -4924872.32     3943729.348    1  GBT XYZ             1  GB
  422333.2      722040.4         306.             QUABBIN             2  QU
  2390490.0     -5564764.0      1994727.0      1  ARECIBO XYZ (JPL)   3  AO
  -424818.0     -1472621.0      50.0              Hobart, Tasmania    4  HO
  402047.7      743853.85         43.             PRINCETON           5  PR
 -1601192.     -5041981.4       3554871.4      1  VLA XYZ             6  VL
 -4554231.5     2816759.1       -3454036.3     1  PARKES  XYZ (JER)   7  PK
 3822252.643   -153995.683      5086051.443    1  JODRELL BANK MkIA   8  JB
  382546.30     795056.36        893.7            GB 300FT            9  G3
 2225039.5297  -5441197.6292   -2479303.3597   1  APEX                a  AP
 2225061.8731  -5440061.9534   -2481682.0838   1  ALMA_P40            b  AM
 5088967.90     -301681.60      3825015.80     1  PICO                c  PV
-1828796.200   -5054406.800     3427865.200    1  ARO_SMT             d  AZ
-2409585.790   -4478197.550     3838767.460    1  CARMA               e  CM
 5088967.90     -301681.60      3825015.80     1  Fake                f  FK
 4033949.5      486989.4        4900430.8      1  Effelsberg          g  EF
 3822473.365   -153692.318      5085851.303    1  JODRELL BANK mkii   h  J2
 3822294.825   -153862.275      5085987.071    1  JODRELL BANK 42ft   i  J4
 3828445.659    445223.600      5064921.5677   1  WSRT                j  WB
-3287268.6186   4023450.1799    3687380.0198   1  KVNUS               k  KU
-3042280.9137   4045902.7164    3867374.3544   1  KVNYS               l  KY
-3171731.558    4292678.4878    3481038.7252   1  KVNTN               m  KT
       0.0            0.0             0.01     1  GeoCentre           o  GC
 1656345.1314   5798090.0577    2073283.1305   1  GMRT                r  GT
-2559454.08     5095372.14     -2849057.18     1  MWA                 w  MW
-1602196.60    -5042313.47      3553971.51     1  LWA1                x  LW
